SI,Name,Manufacturer,Location,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price,Year,Kilometers_Driven
65,Audi A4 2.0 TDI Multitronic,Audi,Jaipur,Diesel,Automatic,First,1968,140,5,16.55,13.5,2012,65664
66,Honda City ZX CVT,Honda,Mumbai,Petrol,Automatic,Second,1497,78,5,16.4,1.85,2007,63000
67,Mercedes-Benz C-Class Progressive C 220d,MercedesBenz,Coimbatore,Diesel,Automatic,First,1950,194,5,0,35.67,2019,15369
68,Maruti Ertiga SHVS VDI,Maruti,Pune,Diesel,Manual,First,1248,88.5,7,24.52,8.15,2016,63000
69,Hyundai Creta 1.4 E Plus Diesel,Hyundai,Mumbai,Diesel,Manual,First,1396,88.7,5,22.1,10.5,2018,13000
70,Porsche Cayenne 2009-2014 Turbo,Porsche,Mumbai,Petrol,Automatic,First,4806,500,5,8.5,14.5,2008,73000
71,Mahindra XUV500 W8 4WD,Mahindra,Mumbai,Diesel,Manual,First,2179,140,7,15.1,9.65,2015,55729
72,Hyundai i10 Sportz 1.2 AT,Hyundai,Kochi,Petrol,Automatic,First,1197,78.9,5,16.95,3.48,2012,45178
73,Nissan Terrano XV D Pre,Nissan,Kochi,Diesel,Manual,First,1461,108.5,5,19.64,6.92,2015,56066
74,Honda Brio VX AT,Honda,Coimbatore,Petrol,Automatic,Second,1198,86.8,5,16.5,6.46,2016,37300
75,Audi A6 2.0 TDI Design Edition,Audi,Delhi,Diesel,Automatic,Second,1968,187.74,5,18.53,29.5,2014,56000
76,Ford Fiesta 1.4 SXi TDCi,Ford,Jaipur,Diesel,Manual,First,1399,74,5,17.8,2,2008,111111
77,Toyota Innova 2.0 G1,Toyota,Chennai,Petrol,Manual,Third,1998,132,8,12.4,4.5,2006,230000
78,Toyota Innova 2.5 VX 7 STR BSIV,Toyota,Hyderabad,Diesel,Manual,First,2494,102,7,12.8,11.75,2012,104000
79,Hyundai Santro Xing XL,Hyundai,Hyderabad,Petrol,Manual,First,1086,74,5,0,1.3,2005,87591
80,Maruti Swift VDI,Maruti,Jaipur,Diesel,Manual,First,1248,74,5,22.9,3.75,2012,95100
81,Tata Zest Revotron 1.2T XE,Tata,Pune,Petrol,Manual,First,1193,88.7,5,17.57,4.5,2017,70000
82,Honda Amaze SX i-VTEC,Honda,Kochi,Petrol,Manual,First,1198,86.7,5,18,4.82,2016,54944
83,Ford Figo Diesel ZXI,Ford,Hyderabad,Diesel,Manual,First,1399,68,5,20,2.8,2012,70337
84,Maruti Ritz VDi,Maruti,Jaipur,Diesel,Manual,First,1248,73.94,5,23.2,3.11,2013,99638
85,Honda City i VTEC E,Honda,Delhi,Petrol,Manual,First,1497,117.3,5,17.8,3.25,2009,52000
86,BMW 5 Series 2003-2012 525d,BMW,Delhi,Diesel,Automatic,Second,1995,218,5,16.73,13.9,2011,75000
87,Hyundai i10 Sportz 1.2,Hyundai,Pune,Petrol,Manual,First,1197,78.9,5,20.36,2.25,2009,95980
88,Hyundai Grand i10 Sportz,Hyundai,Bangalore,Petrol,Manual,First,1197,82,5,18.9,5.75,2016,16000
89,Hyundai Santro Xing XO,Hyundai,Hyderabad,Petrol,Manual,First,1086,74,5,17,2.1,2007,73745
90,Honda Amaze SX i-VTEC,Honda,Mumbai,Petrol,Manual,First,1198,86.7,5,17.8,5,2016,18949
91,Toyota Fortuner 4x2 Manual,Toyota,Delhi,Diesel,Manual,First,2982,168.5,7,13,16.5,2014,107000
92,Audi A6 2011-2015 35 TDI Premium,Audi,Coimbatore,Diesel,Automatic,First,1968,174.33,5,17.68,39.58,2018,48367
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,Delhi,Diesel,Manual,First,1498,89.84,5,22.7,5.5,2013,57000
94,Mahindra XUV500 W8 2WD,Mahindra,Delhi,Diesel,Manual,First,2179,140,7,15.1,8.1,2014,58000
95,Honda Amaze SX i-DTEC,Honda,Kolkata,Diesel,Manual,First,1498,98.6,5,25.8,3.5,2015,30000
96,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Kolkata,Diesel,Manual,First,1199,73.9,5,22.07,2.79,2013,34212
97,Hyundai Verna Transform SX VGT CRDi,Hyundai,Ahmedabad,Diesel,Manual,First,1493,110,5,16.2,3.45,2010,70002
98,Maruti Wagon R VXI BS IV,Maruti,Bangalore,Petrol,Manual,First,998,67.1,5,18.9,4.45,2016,62000
99,Volkswagen Polo Petrol Highline 1.6L,Volkswagen,Delhi,Petrol,Manual,First,1598,103.5,5,15.26,2.65,2010,62001
100,Hyundai i20 1.4 CRDi Sportz,Hyundai,Pune,Diesel,Manual,Second,1396,90,5,23,3.8,2011,78958
101,Hyundai i20 Asta 1.2,Hyundai,Mumbai,Petrol,Manual,First,1197,82.85,5,18.5,4.65,2014,30180
102,Datsun GO Plus T Petrol,Datsun,Pune,Petrol,Manual,First,1198,67,7,19.83,3.95,2017,32851
103,Audi A4 3.0 TDI Quattro Premium,Audi,Kolkata,Diesel,Automatic,First,2967,241.4,5,14.94,9.8,2010,30000
104,Hyundai i20 2015-2017 Asta,Hyundai,Pune,Petrol,Manual,Second,1197,80,5,17,2.7,2009,66000
105,Maruti Omni 5 Str STD,Maruti,Coimbatore,Petrol,Manual,First,796,35,5,14,2.41,2010,93850
106,Toyota Etios Liva 1.2 G,Toyota,Ahmedabad,Petrol,Manual,First,1197,78.9,5,17.71,3.9,2014,53000
107,Jaguar XF 3.0 Litre S Premium Luxury,Jaguar,Hyderabad,Diesel,Automatic,Second,2993,270.9,5,14.74,24,2011,78000
108,Mahindra XUV500 W8 2WD,Mahindra,Delhi,Diesel,Manual,Second,2179,140,7,16,5.75,2012,65000
109,Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,Kolkata,Diesel,Automatic,First,1582,126.32,5,22.32,5.25,2014,40000
110,Toyota Innova Crysta 2.8 ZX AT,Toyota,Mumbai,Diesel,Automatic,First,2755,171.5,7,11.36,19.25,2017,30000
111,Maruti Eeco 5 Seater AC,Maruti,Coimbatore,Petrol,Manual,First,1196,73,5,15.1,3.91,2017,38053
112,Tata Nano Twist XT,Tata,Bangalore,Petrol,Manual,First,624,37.5,4,25.4,2.15,2014,25500
113,BMW 3 Series 320d Luxury Line,BMW,Mumbai,Diesel,Automatic,First,1995,190,5,22.69,20.75,2015,56087
114,Honda Civic 2006-2010 1.8 V MT,Honda,Delhi,Petrol,Manual,First,1799,130,5,13.5,3.35,2010,71088
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,Ahmedabad,Diesel,Manual,First,2494,100.6,7,12.99,11.11,2014,55000
116,Volvo V40 Cross Country D3,Volvo,Bangalore,Diesel,Automatic,First,1984,150,5,23.3,20,2014,32700
117,Nissan Micra XV CVT,Nissan,Coimbatore,Petrol,Automatic,First,1198,75.94,5,19.15,6.55,2016,39882
118,BMW 5 Series 2010-2013 525i,BMW,Mumbai,Petrol,Automatic,First,2497,215,5,10.8,7,2009,128000
119,Maruti Vitara Brezza VDi,Maruti,Mumbai,Diesel,Manual,First,1248,88.5,5,24.3,7.5,2016,55000
120,Hyundai Santro Xing XL eRLX Euro III,Hyundai,Mumbai,Petrol,Manual,Second,1086,74,5,17,0.85,2005,102000
121,Mercedes-Benz B Class B200 CDI,MercedesBenz,Pune,Diesel,Automatic,Second,2143,107.3,5,15,16.75,2014,53753
122,Hyundai Verna CRDi 1.6 SX Option,Hyundai,Kolkata,Diesel,Manual,First,1582,126.2,5,22,10.95,2018,10250
123,Maruti Wagon R LXI BS IV,Maruti,Pune,Petrol,Manual,First,998,67.1,5,18.9,2.45,2011,43874
124,Tata Nano XTA,Tata,Coimbatore,Petrol,Automatic,First,624,37.48,4,21.9,3.23,2017,32684
125,Mahindra Scorpio VLX,Mahindra,Kolkata,Diesel,Manual,First,2179,120,8,12.05,7.75,2014,42000
126,Mercedes-Benz New C-Class 200 K AT,MercedesBenz,Kolkata,Petrol,Automatic,First,1796,178,5,11.7,9.35,2009,28352
127,Maruti Wagon R LXI CNG,Maruti,Pune,CNG,Manual,First,998,58.16,5,26.6,3.25,2013,89900
128,Honda CR-V 2.4 MT,Honda,Bangalore,Petrol,Manual,Second,2354,152,5,10.8,5.25,2007,47700
129,Volkswagen Vento 1.5 TDI Comfortline AT,Volkswagen,Pune,Diesel,Automatic,First,1498,103.2,5,21.21,7.25,2015,55000
130,Maruti Ciaz VXi Plus,Maruti,Kochi,Petrol,Manual,First,1373,91.1,5,20.73,7.47,2017,44285
131,Mahindra XUV500 AT W10 FWD,Mahindra,Jaipur,Diesel,Automatic,First,2179,140,7,16,13.25,2016,54000
132,Maruti Ritz VXI ABS,Maruti,Coimbatore,Petrol,Manual,First,1197,85.8,5,21.1,5.81,2016,30232
133,Maruti Alto K10 VXI,Maruti,Hyderabad,Petrol,Manual,First,998,67.1,5,24.07,2.6,2014,88500
134,Mercedes-Benz SLC 43 AMG,MercedesBenz,Kolkata,Petrol,Automatic,First,2996,362.07,2,19,54,2017,13372
135,Hyundai Verna VTVT 1.6 AT SX Plus,Hyundai,Kochi,Petrol,Automatic,First,1591,121.3,5,17,11.5,2019,12645
136,Maruti Alto LXi BSIII,Maruti,Chennai,Petrol,Manual,Second,796,46.3,5,19.7,1.6,2010,94385
137,BMW 1 Series 118d Base,BMW,Coimbatore,Diesel,Automatic,First,1995,143,5,20.58,17.22,2015,31821
138,Honda Jazz 1.2 V CVT i VTEC,Honda,Mumbai,Petrol,Automatic,First,1199,88.7,5,19,6,2015,12000
139,Honda Civic 2006-2010 1.8 V MT,Honda,Delhi,Petrol,Manual,First,1799,130,5,13.5,3.95,2012,88578
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,MercedesBenz,Kochi,Diesel,Automatic,First,2143,170,5,19.27,17.95,2014,44965
141,Honda Amaze SX i-DTEC,Honda,Kolkata,Diesel,Manual,First,1498,98.6,5,25.8,3.7,2014,45044
142,Maruti Swift VVT VXI,Maruti,Kochi,Petrol,Manual,First,1197,81.8,5,22,5.43,2016,34204
143,Hyundai Santro Xing XO eRLX Euro II,Hyundai,Kochi,Petrol,Manual,Third,1086,74,5,17,1.67,2008,80759
144,Toyota Fortuner 3.0 Diesel,Toyota,Coimbatore,Diesel,Manual,First,2982,171,7,11.5,13.49,2012,91235
145,Chevrolet Beat LT Option,Chevrolet,Pune,Petrol,Manual,First,1199,76.8,5,18.6,2.85,2014,38800
146,Skoda Rapid 1.5 TDI Elegance,Skoda,Chennai,Diesel,Manual,First,1498,103.52,5,21.14,4.75,2013,83000
147,Maruti Ciaz 1.4 Alpha,Maruti,Kochi,Petrol,Manual,First,1373,91.1,5,20.73,9.9,2018,41283
148,Audi RS5 Coupe,Audi,Mumbai,Petrol,Automatic,First,2894,444,4,11.05,37,2013,23000
149,BMW 3 Series Luxury Line,BMW,Mumbai,Diesel,Automatic,First,1995,190,5,21.76,26.5,2014,48000
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Coimbatore,Diesel,Automatic,First,1968,174.33,5,17.11,23.32,2015,48214
151,Maruti Swift VDI,Maruti,Chennai,Diesel,Manual,First,1248,74,5,22.9,6.25,2016,35000
152,Mercedes-Benz S Class 2005 2013 S 500,MercedesBenz,Kolkata,Petrol,Automatic,First,5461,362.9,5,7.81,30,2010,35277
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Skoda,Coimbatore,Diesel,Automatic,First,1498,103.52,5,21.66,9.86,2016,54620
154,Skoda Superb Elegance 2.0 TDI CR AT,Skoda,Pune,Diesel,Automatic,First,1968,138.1,5,17.2,8.5,2012,136997
155,Hyundai EON Magna Plus,Hyundai,Kochi,Petrol,Manual,First,814,55.2,5,21.1,4.23,2019,14322
156,Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Jaipur,Diesel,Manual,First,1199,73.9,5,22.07,3.5,2012,65634
157,Datsun GO NXT,Datsun,Kolkata,Petrol,Manual,First,1198,67.06,5,20.63,2.5,2016,6000
158,Honda Brio S MT,Honda,Kolkata,Petrol,Manual,First,1198,86.8,5,19.4,2.39,2013,33280
159,Mercedes-Benz B Class B180,MercedesBenz,Delhi,Petrol,Automatic,First,1595,120.7,5,14.8,11.25,2013,29000
160,Honda City i DTEC V,Honda,Kochi,Diesel,Manual,First,1498,98.6,5,26,7.11,2015,42831
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,Ahmedabad,Diesel,Manual,First,2494,100.6,7,12.99,10.9,2016,90000
162,Maruti Swift VXI Optional,Maruti,Ahmedabad,Petrol,Manual,First,1197,81.8,5,20.4,6.2,2017,24005
163,Mahindra XUV500 W8 2WD,Mahindra,Mumbai,Diesel,Manual,First,2179,140,7,15.1,7.9,2012,32792
164,Ford Ecosport 1.5 DV5 MT Ambiente,Ford,Kochi,Diesel,Manual,First,1498,89.84,5,22.7,4.42,2014,147898
165,Toyota Fortuner 4x2 Manual,Toyota,Mumbai,Diesel,Manual,First,2982,168.5,7,13,13.5,2012,131765
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Volkswagen,Chennai,Diesel,Automatic,First,1498,108.5,5,21.5,6.25,2013,65000
167,Ford Figo Diesel Titanium,Ford,Jaipur,Diesel,Manual,Second,1399,68,5,20,2.1,2010,66123
168,BMW X5 xDrive 30d,BMW,Mumbai,Diesel,Automatic,First,2993,258,5,15.3,45,2015,41000
169,Mercedes-Benz New C-Class C 220 CDI Style,MercedesBenz,Coimbatore,Diesel,Automatic,First,2143,167.62,5,19.27,33.66,2017,23550
170,Honda Brio V MT,Honda,Bangalore,Petrol,Manual,Second,1198,86.8,5,19.4,3.65,2012,45000
171,Hyundai i10 Magna 1.2,Hyundai,Delhi,Petrol,Manual,First,1197,78.9,5,20.36,2.75,2013,60000
172,Mercedes-Benz GLC 220,MercedesBenz,Bangalore,Diesel,Automatic,First,2143,170,5,17.9,42.5,2016,44414
173,Hyundai Grand i10 1.2 Kappa Asta,Hyundai,Kolkata,Petrol,Manual,First,1197,81.86,5,18.9,6.5,2019,1000
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Mumbai,Diesel,Automatic,Second,1968,174.33,5,17.68,19,2012,62500
175,Volkswagen Vento Petrol Highline AT,Volkswagen,Mumbai,Petrol,Automatic,Second,1598,103.6,5,14.4,4.45,2013,21000
176,Mini Countryman Cooper D,Mini,Jaipur,Diesel,Automatic,Second,1998,112,5,16.6,23,2017,8525
177,Hyundai i20 Asta 1.4 CRDi,Hyundai,Bangalore,Diesel,Manual,First,1396,88.73,5,22.54,8.35,2014,29000
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Mumbai,Diesel,Automatic,First,1968,174.33,5,17.68,22.95,2014,40000
179,Chevrolet Beat Diesel LT,Chevrolet,Jaipur,Diesel,Manual,First,936,57.6,5,25.44,1.5,2012,88000
180,Skoda Superb Elegance 1.8 TSI AT,Skoda,Kochi,Petrol,Automatic,First,1798,157.75,5,13.7,6.89,2012,53537
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Ford,Chennai,Diesel,Manual,Second,1399,68,5,17.8,1.45,2006,216000
182,BMW 5 Series 520d Luxury Line,BMW,Hyderabad,Diesel,Automatic,First,1995,190,5,22.48,33.5,2014,51000
183,Chevrolet Optra Magnum 1.6 LS BS3,Chevrolet,Jaipur,Petrol,Manual,First,1598,102.5,5,12.9,1.25,2007,118500
184,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Hyderabad,Diesel,Manual,First,1199,73.9,5,22.07,4.2,2012,63000
185,Renault Lodgy 110PS RxZ 8 Seater,Renault,Mumbai,Diesel,Manual,First,1461,108.5,8,19.98,6.75,2015,25000
186,Mercedes-Benz E-Class E250 CDI Avantgrade,MercedesBenz,Bangalore,Diesel,Automatic,First,2143,201.1,5,13,32,2014,37382
187,Maruti Baleno Alpha,Maruti,Kochi,Petrol,Manual,First,1197,83.1,5,21.4,7.5,2017,24773
188,Hyundai Verna 1.6 SX,Hyundai,Delhi,Diesel,Manual,First,1582,126.32,5,22.32,4.6,2012,62000
189,Hyundai i10 Magna 1.1,Hyundai,Kochi,Petrol,Manual,First,1086,68.05,5,19.81,4.04,2017,52340
190,Mahindra Scorpio 1.99 S10 4WD,Mahindra,Kochi,Diesel,Manual,First,1997,120,7,15.4,10.31,2016,56739
191,Land Rover Range Rover 2.2L Dynamic,Land,Coimbatore,Diesel,Automatic,First,2179,187.7,5,12.7,55.76,2018,36091
192,Ford Figo Diesel ZXI,Ford,Chennai,Diesel,Manual,First,1399,68,5,20,2.6,2010,120000
193,Maruti Ertiga ZDI,Maruti,Mumbai,Diesel,Manual,First,1248,88.5,7,25.47,8.5,2016,33000
195,Honda Amaze S i-Dtech,Honda,Kolkata,Diesel,Manual,First,1498,98.6,5,25.8,3.5,2014,52000
196,Hyundai i10 Magna,Hyundai,Jaipur,Petrol,Manual,First,1197,78.9,5,20.36,3.55,2015,43571
197,Honda Amaze S i-Dtech,Honda,Kolkata,Diesel,Manual,First,1498,98.6,5,25.8,3.25,2013,50000
198,Skoda Laura Ambiente,Skoda,Hyderabad,Diesel,Manual,First,1896,106,5,17.5,4.5,2008,113000
199,Renault Duster 85PS Diesel RxL,Renault,Delhi,Diesel,Manual,First,1461,83.8,5,19.87,5.35,2014,90000
200,Mahindra NuvoSport N6,Mahindra,Chennai,Diesel,Manual,Second,1493,100,7,17.45,6.5,2017,29000
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,Mumbai,Diesel,Manual,First,1248,88.5,5,24.3,9,2016,20000
202,Hyundai i20 Asta Option 1.2,Hyundai,Kochi,Petrol,Manual,First,1197,81.83,5,18.6,6,2016,61012
203,Skoda Fabia 1.4 MPI Ambiente,Skoda,Jaipur,Petrol,Manual,First,1390,85,5,14.7,2.75,2009,87459
204,Tata Indigo eCS GLX,Tata,Pune,Petrol,Manual,First,1193,64.1,5,15.64,1.5,2010,70500
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Audi,Delhi,Diesel,Automatic,First,1968,174.33,5,15.73,19.9,2015,64103
206,Skoda Octavia Elegance 1.8 TSI AT,Skoda,Mumbai,Petrol,Automatic,First,1798,177.5,5,14.7,10,2014,76000
207,Toyota Etios Liva GD SP,Toyota,Delhi,Diesel,Manual,First,1364,67.06,5,23.59,3,2014,104000
209,Mercedes-Benz B Class B180,MercedesBenz,Kochi,Petrol,Automatic,First,1595,120.7,5,14.8,11.96,2014,37245
210,Honda Amaze S Diesel,Honda,Kolkata,Diesel,Manual,First,1498,98.6,5,27.4,3.25,2013,45000
211,Hyundai Verna 1.6 SX,Hyundai,Jaipur,Diesel,Manual,Second,1582,126.32,5,22.32,4.75,2012,117837
212,Renault Duster 85PS Diesel RxL Optional,Renault,Mumbai,Diesel,Manual,First,1461,83.8,5,20.46,5.95,2014,30000
213,Hyundai Creta 1.6 VTVT S,Hyundai,Delhi,Petrol,Manual,Second,1591,121.3,5,15.29,8.15,2015,27057
214,Maruti Wagon R AMT VXI,Maruti,Mumbai,Petrol,Automatic,First,998,67,5,20.51,4.22,2016,8500
215,Mercedes-Benz New C-Class C250 Avantgarde,MercedesBenz,Kolkata,Petrol,Automatic,First,1796,186,5,11.74,10.5,2010,30500
216,Audi A8 L 3.0 TDI quattro,Audi,Delhi,Diesel,Automatic,First,2967,246.7,5,11.8,45,2012,56000
217,Hyundai i10 Magna 1.1,Hyundai,Pune,Petrol,Manual,Second,1086,68.05,5,19.81,2.9,2012,44000
